Year,Country code,count,Method,Moment,Value,Country
2004,ES,38988.0,Method 2,mean,0.5931637477695039,Spain
2005,ES,64516.0,Method 2,mean,0.5716845011924709,Spain
2006,ES,65878.0,Method 2,mean,0.5670697059624389,Spain
2007,ES,62291.0,Method 2,mean,0.5553949374155366,Spain
2008,ES,62049.0,Method 2,mean,0.6205599462293456,Spain
2009,ES,60782.0,Method 2,mean,0.6697192874780972,Spain
2010,ES,58922.0,Method 2,mean,0.660815346569812,Spain
2011,ES,57268.0,Method 2,mean,0.6787028681707746,Spain
2012,ES,55494.0,Method 2,mean,0.6872593142020681,Spain
2013,ES,54376.0,Method 2,mean,0.6563622680787263,Spain
2014,ES,54577.0,Method 2,mean,0.6196633905726863,Spain
2015,ES,56022.0,Method 2,mean,0.5948404612930387,Spain
2016,ES,57505.0,Method 2,mean,0.5898463196318122,Spain
2017,ES,54322.0,Method 2,mean,0.5857581793741876,Spain
2018,ES,428.0,Method 2,mean,0.42027373151896497,Spain
1987,ES,1.0,Method 3,mean,0.20361470148752525,Spain
1988,ES,1.0,Method 3,mean,0.24811564002551684,Spain
1989,ES,5.0,Method 3,mean,0.6548569420253811,Spain
1990,ES,110.0,Method 3,mean,0.6720597512182069,Spain
1991,ES,787.0,Method 3,mean,0.732447361232359,Spain
1992,ES,3003.0,Method 3,mean,0.8358723871703906,Spain
1993,ES,7417.0,Method 3,mean,0.881055435197586,Spain
1994,ES,24119.0,Method 3,mean,0.7738715568662992,Spain
1995,ES,31069.0,Method 3,mean,0.7763990639100452,Spain
1996,ES,38372.0,Method 3,mean,0.7910645844480427,Spain
1997,ES,40254.0,Method 3,mean,0.7744834154872934,Spain
1998,ES,43811.0,Method 3,mean,0.7646579155656122,Spain
1999,ES,47870.0,Method 3,mean,0.766110959064869,Spain
2000,ES,51535.0,Method 3,mean,0.7841731557803681,Spain
2001,ES,59329.0,Method 3,mean,0.8046112171156403,Spain
2002,ES,64805.0,Method 3,mean,0.8229399709901455,Spain
2003,ES,65382.0,Method 3,mean,0.8290360272397332,Spain
2004,ES,64397.0,Method 3,mean,0.833935947034401,Spain
2005,ES,65138.0,Method 3,mean,0.8409569302334104,Spain
2006,ES,66273.0,Method 3,mean,0.8312625569403779,Spain
2007,ES,62507.0,Method 3,mean,0.8140544246699587,Spain
2008,ES,62459.0,Method 3,mean,0.8833080821420543,Spain
2009,ES,60862.0,Method 3,mean,0.9811368405900179,Spain
2010,ES,58778.0,Method 3,mean,0.9633050358082911,Spain
2011,ES,56924.0,Method 3,mean,1.0067829916872715,Spain
2012,ES,54966.0,Method 3,mean,1.0415371163109983,Spain
2013,ES,53884.0,Method 3,mean,0.999452700278767,Spain
2014,ES,54467.0,Method 3,mean,0.9212860507074737,Spain
2015,ES,56113.0,Method 3,mean,0.8768894637472293,Spain
2016,ES,57698.0,Method 3,mean,0.8541684288077379,Spain
2017,ES,54502.0,Method 3,mean,0.8382791550863676,Spain
2018,ES,429.0,Method 3,mean,0.6679457106008387,Spain
1987,ES,1.0,Method 4,mean,0.28765506325543,Spain
1988,ES,1.0,Method 4,mean,0.3482485424132759,Spain
1989,ES,5.0,Method 4,mean,0.7247288324801405,Spain
1990,ES,110.0,Method 4,mean,0.7377646198873643,Spain
1991,ES,791.0,Method 4,mean,0.8326451167522086,Spain
1992,ES,3021.0,Method 4,mean,0.9248039749375327,Spain
1993,ES,7472.0,Method 4,mean,0.9946233772752775,Spain
1994,ES,24163.0,Method 4,mean,0.863428821577521,Spain
1995,ES,31253.0,Method 4,mean,0.8665425330416333,Spain
1996,ES,38835.0,Method 4,mean,0.8872702213751255,Spain
1997,ES,40618.0,Method 4,mean,0.8712558850188143,Spain
1998,ES,44136.0,Method 4,mean,0.8595982097098882,Spain
1999,ES,48064.0,Method 4,mean,0.8606536078165481,Spain
2000,ES,51571.0,Method 4,mean,0.8843645406049088,Spain
2001,ES,60185.0,Method 4,mean,0.905509519819795,Spain
2002,ES,65220.0,Method 4,mean,0.9306124072894317,Spain
2003,ES,65120.0,Method 4,mean,0.9389552813675266,Spain
2004,ES,64015.0,Method 4,mean,0.9468330594157621,Spain
2005,ES,64657.0,Method 4,mean,0.9550349062525778,Spain
2006,ES,65845.0,Method 4,mean,0.9401586179998696,Spain
2007,ES,62015.0,Method 4,mean,0.9180185602097728,Spain
2008,ES,61856.0,Method 4,mean,0.99746773867827,Spain
2009,ES,59852.0,Method 4,mean,1.1301388395315484,Spain
2010,ES,57820.0,Method 4,mean,1.096521248008834,Spain
2011,ES,55992.0,Method 4,mean,1.141971745976496,Spain
2012,ES,54027.0,Method 4,mean,1.1835289278082382,Spain
2013,ES,53014.0,Method 4,mean,1.126642727745662,Spain
2014,ES,53782.0,Method 4,mean,1.0193859728734804,Spain
2015,ES,55493.0,Method 4,mean,0.9611386466789726,Spain
2016,ES,57192.0,Method 4,mean,0.9359416922186613,Spain
2017,ES,54072.0,Method 4,mean,0.9153753091378063,Spain
2018,ES,420.0,Method 4,mean,0.7959442562518612,Spain
1992,FR,1.0,Method 1,mean,1.118207521539562,France
1993,FR,1.0,Method 1,mean,0.725948850676892,France
1994,FR,1.0,Method 1,mean,0.4566139069406424,France
1997,FR,1.0,Method 1,mean,0.4564210019193443,France
1998,FR,1.0,Method 1,mean,0.41930739422128804,France
1999,FR,4.0,Method 1,mean,0.3271934269464142,France
2000,FR,4.0,Method 1,mean,0.4392943738788157,France
2001,FR,3.0,Method 1,mean,0.4266250345379383,France
2002,FR,4.0,Method 1,mean,0.47537278538929945,France
2003,FR,4.0,Method 1,mean,0.5260548005391751,France
2004,FR,6.0,Method 1,mean,0.5778015310220376,France
2005,FR,7.0,Method 1,mean,7.483079605603983,France
2006,FR,4.0,Method 1,mean,0.6679440801011789,France
2007,FR,3.0,Method 1,mean,0.3462976645480365,France
2008,FR,5.0,Method 1,mean,0.6970462889080546,France
2009,FR,6.0,Method 1,mean,0.7066137586958883,France
2010,FR,9.0,Method 1,mean,0.5199027760727432,France
2011,FR,9.0,Method 1,mean,0.4386919402683867,France
2012,FR,8.0,Method 1,mean,0.4925369624723219,France
2013,FR,9.0,Method 1,mean,0.4403200553496392,France
2014,FR,12.0,Method 1,mean,1.5735221717308487,France
2015,FR,7.0,Method 1,mean,0.429118965050362,France
2016,FR,10.0,Method 1,mean,0.42463217498850864,France
2017,FR,6.0,Method 1,mean,0.524869168107275,France
2018,FR,3.0,Method 1,mean,0.7055898096520923,France
1992,FR,1.0,Method 2,mean,3.4229243160386753,France
1993,FR,1.0,Method 2,mean,1.2812987439454888,France
1995,FR,26433.0,Method 2,mean,0.4801499866913121,France
1996,FR,48143.0,Method 2,mean,0.4875488646350691,France
1997,FR,51661.0,Method 2,mean,0.4838175626377024,France
1998,FR,56836.0,Method 2,mean,0.47917593770850847,France
1999,FR,60993.0,Method 2,mean,0.4803031063350073,France
2000,FR,64182.0,Method 2,mean,0.4761307468418725,France
2001,FR,67379.0,Method 2,mean,0.4769637925393149,France
2002,FR,70404.0,Method 2,mean,0.4833959028588438,France
2003,FR,71276.0,Method 2,mean,0.48589773506380457,France
2004,FR,71407.0,Method 2,mean,0.48068266395839915,France
2005,FR,71545.0,Method 2,mean,0.4790894931147894,France
2006,FR,71966.0,Method 2,mean,0.47633902572264303,France
2007,FR,72686.0,Method 2,mean,0.4690586322684962,France
2008,FR,73124.0,Method 2,mean,0.4708809257923501,France
2009,FR,72032.0,Method 2,mean,0.4897927466213142,France
2010,FR,72237.0,Method 2,mean,0.4820345190261574,France
2011,FR,72255.0,Method 2,mean,0.4748596021066397,France
2012,FR,72396.0,Method 2,mean,0.4774276109987844,France
2013,FR,70914.0,Method 2,mean,0.4767556845134564,France
2014,FR,57492.0,Method 2,mean,0.46663318706212287,France
2015,FR,48903.0,Method 2,mean,0.45871729538089573,France
2016,FR,37385.0,Method 2,mean,0.44678133654184315,France
2017,FR,31861.0,Method 2,mean,0.4405080269477904,France
2018,FR,9307.0,Method 2,mean,0.44052863461444064,France
2019,FR,3.0,Method 2,mean,0.42742454178755623,France
1992,FR,1.0,Method 3,mean,1.8537019717109646,France
1993,FR,1.0,Method 3,mean,3.08539653521573,France
1994,FR,1.0,Method 3,mean,1.2329789065732053,France
1995,FR,26507.0,Method 3,mean,0.8099111796338164,France
1996,FR,48548.0,Method 3,mean,0.8132510888254503,France
1997,FR,52093.0,Method 3,mean,0.8078867183951294,France
1998,FR,57319.0,Method 3,mean,0.8019150353850639,France
1999,FR,61483.0,Method 3,mean,0.803866743144185,France
2000,FR,64800.0,Method 3,mean,0.8012100181368347,France
2001,FR,68122.0,Method 3,mean,0.8067335909532023,France
2002,FR,71437.0,Method 3,mean,0.8262083301866346,France
2003,FR,72488.0,Method 3,mean,0.8394259848858685,France
2004,FR,72659.0,Method 3,mean,0.8296376090516576,France
2005,FR,72576.0,Method 3,mean,0.8322277398396803,France
2006,FR,72900.0,Method 3,mean,0.8304616935639726,France
2007,FR,73464.0,Method 3,mean,0.8131189827251762,France
2008,FR,74011.0,Method 3,mean,0.8254516399816685,France
2009,FR,72742.0,Method 3,mean,0.8788837393911738,France
2010,FR,73033.0,Method 3,mean,0.8514042776627118,France
2011,FR,73190.0,Method 3,mean,0.8314498629960732,France
2012,FR,73465.0,Method 3,mean,0.8444561475574734,France
2013,FR,71864.0,Method 3,mean,0.8448455530508154,France
2014,FR,58223.0,Method 3,mean,0.8307367296450158,France
2015,FR,49534.0,Method 3,mean,0.8278585600521408,France
2016,FR,37908.0,Method 3,mean,0.8195132517890688,France
2017,FR,32306.0,Method 3,mean,0.8217130416432828,France
2018,FR,9422.0,Method 3,mean,0.8064457475806008,France
2019,FR,3.0,Method 3,mean,0.5744640741049762,France
1992,FR,1.0,Method 4,mean,2.0967112050540093,France
1993,FR,1.0,Method 4,mean,3.860224262513349,France
1994,FR,1.0,Method 4,mean,1.3827705654310394,France
1995,FR,26940.0,Method 4,mean,0.8869128336382207,France
1996,FR,49066.0,Method 4,mean,0.8900141948402296,France
1997,FR,52699.0,Method 4,mean,0.8847413158613161,France
1998,FR,58037.0,Method 4,mean,0.8762123725094836,France
1999,FR,62288.0,Method 4,mean,0.8814501231410016,France
2000,FR,65558.0,Method 4,mean,0.8776112969864075,France
2001,FR,68816.0,Method 4,mean,0.8837309395552422,France
2002,FR,71825.0,Method 4,mean,0.9084912942596232,France
2003,FR,72410.0,Method 4,mean,0.924370862719157,France
2004,FR,72462.0,Method 4,mean,0.9083259192921003,France
2005,FR,72397.0,Method 4,mean,0.9108665514326048,France
2006,FR,72830.0,Method 4,mean,0.9065938362430707,France
2007,FR,73469.0,Method 4,mean,0.8836132006646089,France
2008,FR,73976.0,Method 4,mean,0.9023550243194178,France
2009,FR,72498.0,Method 4,mean,0.9705767894807034,France
2010,FR,72669.0,Method 4,mean,0.9345963633918385,France
2011,FR,72810.0,Method 4,mean,0.9106426910265887,France
2012,FR,72926.0,Method 4,mean,0.9270508356206453,France
2013,FR,71353.0,Method 4,mean,0.9293934104820903,France
2014,FR,57869.0,Method 4,mean,0.9145570339603575,France
2015,FR,49195.0,Method 4,mean,0.9082221728237047,France
2016,FR,37640.0,Method 4,mean,0.9022196802321588,France
2017,FR,32069.0,Method 4,mean,0.9089646550253142,France
2018,FR,9352.0,Method 4,mean,0.8969703315084767,France
2019,FR,3.0,Method 4,mean,0.5915714494262807,France
1995,IT,1.0,Method 1,mean,0.21827008459831615,Italy
1996,IT,1.0,Method 1,mean,0.2201886664759263,Italy
1997,IT,1.0,Method 1,mean,0.22743641863598446,Italy
1998,IT,1.0,Method 1,mean,0.2548239505204079,Italy
2000,IT,1.0,Method 1,mean,0.30711411789112014,Italy
2001,IT,2.0,Method 1,mean,0.3598334232715691,Italy
2002,IT,1.0,Method 1,mean,0.40434228683203915,Italy
2003,IT,2.0,Method 1,mean,0.3884190773019019,Italy
2004,IT,2.0,Method 1,mean,0.34324726381533627,Italy
2005,IT,3.0,Method 1,mean,0.22658941894570592,Italy
2006,IT,3.0,Method 1,mean,0.22222780450848004,Italy
2007,IT,4.0,Method 1,mean,0.25485202459048817,Italy
2008,IT,3.0,Method 1,mean,0.23757369938779527,Italy
2009,IT,6.0,Method 1,mean,1.0422637332808042,Italy
2010,IT,5.0,Method 1,mean,0.7828384469717615,Italy
2011,IT,3.0,Method 1,mean,0.5041590480881472,Italy
2012,IT,3.0,Method 1,mean,0.3386034096433472,Italy
2013,IT,5.0,Method 1,mean,0.6879589663132369,Italy
2014,IT,8.0,Method 1,mean,0.35210894327300096,Italy
2015,IT,5.0,Method 1,mean,0.26749781949165863,Italy
1990,IT,125.0,Method 2,mean,0.32527460796875574,Italy
1991,IT,1064.0,Method 2,mean,0.3538864824736203,Italy
1992,IT,2614.0,Method 2,mean,0.35549683881790034,Italy
1993,IT,2618.0,Method 2,mean,0.35480677798126403,Italy
1994,IT,6778.0,Method 2,mean,0.3559149613981347,Italy
1995,IT,14381.0,Method 2,mean,0.3378231277592632,Italy
1996,IT,26054.0,Method 2,mean,0.33890700152689296,Italy
1997,IT,28759.0,Method 2,mean,0.3482852069511368,Italy
1998,IT,32673.0,Method 2,mean,0.33779791532069464,Italy
1999,IT,36534.0,Method 2,mean,0.33803618408236963,Italy
2000,IT,40122.0,Method 2,mean,0.33534544542133676,Italy
2001,IT,41478.0,Method 2,mean,0.3300686559314112,Italy
2002,IT,59089.0,Method 2,mean,0.34169288061118347,Italy
2003,IT,55265.0,Method 2,mean,0.34914122885403714,Italy
2004,IT,83227.0,Method 2,mean,0.3603691797801618,Italy
2005,IT,83448.0,Method 2,mean,0.3583417915060848,Italy
2006,IT,86271.0,Method 2,mean,0.34998712496331436,Italy
2007,IT,92452.0,Method 2,mean,0.3525036144188587,Italy
2008,IT,93661.0,Method 2,mean,0.36823280088257543,Italy
2009,IT,93502.0,Method 2,mean,0.3943612515971834,Italy
2010,IT,93824.0,Method 2,mean,0.3804434889084296,Italy
2011,IT,94146.0,Method 2,mean,0.3814797237137945,Italy
2012,IT,93219.0,Method 2,mean,0.3889915970974732,Italy
2013,IT,92853.0,Method 2,mean,0.3874657109785492,Italy
2014,IT,93174.0,Method 2,mean,0.3818630446318994,Italy
2015,IT,95882.0,Method 2,mean,0.37763714237781765,Italy
2016,IT,97118.0,Method 2,mean,0.3766650366094231,Italy
2017,IT,98068.0,Method 2,mean,0.374000032192394,Italy
2018,IT,17255.0,Method 2,mean,0.35760377473933946,Italy
1990,IT,118.0,Method 3,mean,0.6491022290919486,Italy
1991,IT,916.0,Method 3,mean,0.6769232688612256,Italy
1992,IT,2405.0,Method 3,mean,0.7376270369144279,Italy
1993,IT,2358.0,Method 3,mean,0.7257712068942646,Italy
1994,IT,6397.0,Method 3,mean,0.670395340273174,Italy
1995,IT,13974.0,Method 3,mean,0.6201108328898632,Italy
1996,IT,25428.0,Method 3,mean,0.6456266701531636,Italy
1997,IT,27958.0,Method 3,mean,0.6630144674146218,Italy
1998,IT,31827.0,Method 3,mean,0.6497728371618401,Italy
1999,IT,35600.0,Method 3,mean,0.6542403021982821,Italy
2000,IT,39059.0,Method 3,mean,0.6473895977721865,Italy
2001,IT,40884.0,Method 3,mean,0.6496248595308899,Italy
2002,IT,57839.0,Method 3,mean,0.6782402064694637,Italy
2003,IT,54074.0,Method 3,mean,0.7018576013654333,Italy
2004,IT,80931.0,Method 3,mean,0.7153274388916196,Italy
2005,IT,81082.0,Method 3,mean,0.7096210620490994,Italy
2006,IT,83871.0,Method 3,mean,0.6941425210356122,Italy
2007,IT,89448.0,Method 3,mean,0.6911640386290078,Italy
2008,IT,90062.0,Method 3,mean,0.7289392828634207,Italy
2009,IT,89185.0,Method 3,mean,0.7938369330413507,Italy
2010,IT,89983.0,Method 3,mean,0.7445746375775208,Italy
2011,IT,90045.0,Method 3,mean,0.7436651821473916,Italy
2012,IT,88660.0,Method 3,mean,0.769393335878911,Italy
2013,IT,88304.0,Method 3,mean,0.7556205886736294,Italy
2014,IT,88800.0,Method 3,mean,0.7342345927906263,Italy
2015,IT,91627.0,Method 3,mean,0.7239242720724517,Italy
2016,IT,93059.0,Method 3,mean,0.7141475067115793,Italy
2017,IT,94261.0,Method 3,mean,0.7057161676567844,Italy
2018,IT,16725.0,Method 3,mean,0.682532833251779,Italy
1990,IT,126.0,Method 4,mean,0.7429183775183998,Italy
1991,IT,1063.0,Method 4,mean,0.779294179468673,Italy
1992,IT,2580.0,Method 4,mean,0.8304747231947299,Italy
1993,IT,2533.0,Method 4,mean,0.8423470138682785,Italy
1994,IT,6586.0,Method 4,mean,0.7880278868053874,Italy
1995,IT,14181.0,Method 4,mean,0.724066186477515,Italy
1996,IT,25727.0,Method 4,mean,0.7583907064607178,Italy
1997,IT,28282.0,Method 4,mean,0.7834211538871003,Italy
